,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot Cases Per Million,Deaths per Million,Total Tests,Tests per Million,Population
35,Switzerland,630194.0,0.0,10498.0,0.0,564850.0,0.0,54846.0,213.0,72399.0,1206.0,747414.0,8704466.0
36,Austria,586883.0,0.0,9813.0,0.0,547604.0,0.0,29466.0,577.0,64871.0,1085.0,3062172.0,9046892.0
37,Japan,516121.0,0.0,9500.0,0.0,473570.0,0.0,33051.0,631.0,4091.0,75.0,84570.0,126170451.0
38,Lebanon,504800.0,0.0,6809.0,0.0,416624.0,0.0,81367.0,795.0,74221.0,1001.0,555489.0,6801277.0
39,Morocco,504260.0,0.0,8927.0,0.0,490366.0,0.0,4967.0,243.0,13536.0,240.0,164743.0,37254502.0
40,United Arab Emirates,491423.0,0.0,1545.0,0.0,475012.0,0.0,14866.0,,49219.0,155.0,4121548.0,9984338.0
41,Saudi Arabia,402142.0,0.0,6791.0,0.0,386102.0,0.0,9249.0,999.0,11412.0,193.0,454572.0,35239473.0
42,Bulgaria,382761.0,0.0,14979.0,0.0,300391.0,0.0,67391.0,811.0,55416.0,2169.0,337912.0,6907046.0
43,Slovakia,373950.0,0.0,10877.0,0.0,255300.0,0.0,107773.0,472.0,68467.0,1991.0,451442.0,5461730.0
44,Malaysia,367977.0,0.0,1363.0,0.0,349039.0,0.0,17575.0,212.0,11256.0,42.0,257188.0,32691886.0
45,Panama,359830.0,0.0,6183.0,0.0,349718.0,0.0,3929.0,105.0,82377.0,1415.0,520335.0,4368082.0
46,Ecuador,355431.0,0.0,17489.0,0.0,298604.0,0.0,39338.0,601.0,19908.0,980.0,68105.0,17853392.0
47,Belarus,340023.0,0.0,2393.0,0.0,330483.0,0.0,7147.0,,35993.0,253.0,593737.0,9446869.0
48,Greece,308006.0,0.0,9239.0,0.0,264324.0,0.0,34443.0,819.0,29665.0,890.0,704459.0,10382792.0
49,Croatia,300900.0,0.0,6442.0,0.0,279151.0,0.0,15307.0,179.0,73655.0,1577.0,409870.0,4085238.0
50,Azerbaijan,294211.0,0.0,4045.0,0.0,257942.0,0.0,32224.0,,28813.0,396.0,300524.0,10211103.0
51,Georgia,292244.0,0.0,3908.0,0.0,279389.0,0.0,8947.0,,73371.0,981.0,951836.0,3983117.0
52,Bolivia,286114.0,823.0,12603.0,84.0,235495.0,899.0,38016.0,71.0,24251.0,1068.0,87114.0,11798112.0
53,Nepal,282054.0,0.0,3066.0,0.0,274604.0,0.0,4384.0,,9546.0,104.0,78840.0,29547776.0
54,Kazakhstan,281351.0,2656.0,3333.0,27.0,241625.0,2177.0,36393.0,221.0,14844.0,176.0,499337.0,18953268.0
55,Tunisia,279376.0,0.0,9553.0,0.0,231285.0,0.0,38538.0,450.0,23446.0,802.0,101319.0,11915894.0
56,Palestine,276407.0,0.0,2937.0,0.0,241343.0,0.0,32127.0,177.0,53214.0,565.0,320269.0,5194206.0
57,Dominican Republic,259639.0,0.0,3405.0,0.0,217613.0,0.0,38621.0,156.0,23747.0,311.0,124407.0,10933492.0
58,Kuwait,253066.0,0.0,1428.0,0.0,236384.0,0.0,15254.0,244.0,58578.0,331.0,508265.0,4320165.0
59,Paraguay,244528.0,0.0,5110.0,0.0,200259.0,0.0,39159.0,504.0,33956.0,710.0,139023.0,7201405.0
60,Moldova,244177.0,0.0,5493.0,0.0,227569.0,0.0,11115.0,290.0,60642.0,1364.0,228988.0,4026555.0
61,Ireland,242402.0,0.0,4820.0,0.0,222843.0,0.0,14739.0,51.0,48664.0,968.0,851550.0,4981160.0
62,Denmark,240330.0,0.0,2449.0,0.0,229372.0,0.0,8509.0,37.0,41377.0,422.0,5302309.0,5808288.0
63,Ethiopia,236554.0,0.0,3285.0,0.0,175879.0,0.0,57390.0,1031.0,2019.0,28.0,21149.0,117190341.0
64,Lithuania,230462.0,0.0,3730.0,0.0,208890.0,0.0,17842.0,151.0,85605.0,1386.0,948545.0,2692167.0
65,Slovenia,229967.0,0.0,4142.0,0.0,212815.0,0.0,13010.0,150.0,110606.0,1992.0,538445.0,2079164.0
66,Costa Rica,227533.0,0.0,3065.0,0.0,196752.0,0.0,27716.0,236.0,44347.0,597.0,173449.0,5130727.0
67,Egypt,213798.0,0.0,12611.0,0.0,161470.0,0.0,39717.0,90.0,2059.0,121.0,25781.0,103847468.0
68,Guatemala,208694.0,0.0,7120.0,0.0,188695.0,0.0,12879.0,5.0,11482.0,392.0,62720.0,18175404.0
69,Armenia,206142.0,0.0,3817.0,0.0,185125.0,0.0,17200.0,,69464.0,1286.0,310156.0,2967613.0
70,Honduras,198975.0,761.0,4929.0,24.0,76214.0,84.0,117832.0,576.0,19841.0,492.0,55170.0,10028249.0
71,Qatar,193952.0,0.0,357.0,0.0,171985.0,0.0,21610.0,489.0,69076.0,127.0,649999.0,2807805.0
72,Bosnia and Herzegovina,187715.0,0.0,7702.0,0.0,144932.0,0.0,35081.0,,57499.0,2359.0,263110.0,3264674.0
73,Venezuela,179365.0,0.0,1853.0,0.0,161820.0,0.0,15692.0,263.0,6322.0,65.0,118391.0,28372266.0
74,Oman,176668.0,0.0,1821.0,0.0,156845.0,0.0,18002.0,267.0,33921.0,350.0,297610.0,5208154.0
75,Libya,170558.0,0.0,2873.0,0.0,155712.0,0.0,11973.0,,24559.0,414.0,133093.0,6944698.0
76,Nigeria,164080.0,0.0,2061.0,0.0,154285.0,0.0,7734.0,11.0,781.0,10.0,8748.0,210134738.0
77,Bahrain,160934.0,0.0,574.0,0.0,149159.0,0.0,11201.0,89.0,92087.0,328.0,2204631.0,1747625.0
78,Uruguay,156499.0,0.0,1726.0,0.0,122637.0,0.0,32136.0,508.0,44929.0,496.0,457683.0,3483224.0
79,Kenya,149219.0,0.0,2424.0,0.0,99580.0,0.0,47215.0,261.0,2728.0,44.0,28972.0,54698558.0
80,North Macedonia,145001.0,0.0,4357.0,0.0,120707.0,0.0,19937.0,124.0,69601.0,2091.0,327015.0,2083306.0
81,Myanmar,142610.0,0.0,3206.0,0.0,131879.0,0.0,7525.0,,2607.0,59.0,46749.0,54697119.0
82,Albania,129128.0,0.0,2335.0,0.0,100013.0,0.0,26780.0,18.0,44909.0,812.0,207070.0,2875315.0
83,Algeria,119142.0,0.0,3144.0,0.0,83048.0,0.0,32950.0,16.0,2679.0,71.0,5191.0,44471990.0
84,Estonia,116200.0,0.0,1064.0,0.0,99096.0,0.0,16040.0,63.0,87550.0,802.0,914990.0,1327239.0
85,S. Korea,112789.0,672.0,1790.0,2.0,103062.0,549.0,7937.0,111.0,2198.0,35.0,162430.0,51304013.0
86,Latvia,109731.0,0.0,2030.0,0.0,101088.0,0.0,6613.0,94.0,58690.0,1086.0,1115768.0,1869675.0
87,Norway,106224.0,0.0,707.0,0.0,88952.0,0.0,16565.0,55.0,19474.0,130.0,906547.0,5454619.0
88,Sri Lanka,95949.0,0.0,608.0,0.0,92308.0,0.0,3033.0,,4466.0,28.0,110530.0,21484036.0
89,Montenegro,95042.0,0.0,1412.0,0.0,89965.0,0.0,3665.0,69.0,151310.0,2248.0,568555.0,628129.0
90,Ghana,91545.0,0.0,766.0,0.0,89400.0,0.0,1379.0,8.0,2899.0,24.0,32909.0,31580972.0
91,Kyrgyzstan,91374.0,230.0,1544.0,4.0,86621.0,130.0,3209.0,25.0,13826.0,234.0,139692.0,6608658.0
